LISTING_NEIGHBOURHOOD,SCRAPED_DATE,ACTIVE_LISTING_RATE,MIN_ACTIVE_LISTINGS,MAX_ACTIVE_LISTINGS,MEDIAN_ACTIVELISTINGS,AVERAGE_ACTIVELISTINGS,NUMBER_OF_DISTINCT_HOSTS,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATING,PERCENTAGE_CHANGE_ACTIVE_LISTINGS,PERCENTAGE_CHANGE_INACTIVE_LISTINGS,NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Bayside,2020-05-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,,,71357834,2057.601409
Bayside,2020-06-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2020-07-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2020-08-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2020-09-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2020-10-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2020-11-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2020-12-01,99.968200,15,2904,80.000,111.755604,1164,13.573900,75.110989,-89.815900,-85.411500,7245337,2073.581740
Bayside,2021-01-01,99.970200,15,2904,79.000,111.851725,1163,13.413600,75.295790,-0.614900,-6.837600,7151439,2089.283722
Bayside,2021-02-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,887.997800,635.779800,71357834,2057.601409
Bayside,2021-03-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Bayside,2021-04-01,99.977800,0,15367,80.000,109.502122,1445,13.633200,75.394396,0.000000,0.000000,71357834,2057.601409
Blacktown,2020-05-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,-80.641200,527.680800,9686962,1304.216406
Blacktown,2020-06-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2020-07-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2020-08-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2020-09-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2020-10-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2020-11-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2020-12-01,99.059900,22,2000,65.000,85.993415,219,16.438400,76.180466,-89.845600,-86.630900,957652,1250.686465
Blacktown,2021-01-01,99.424200,22,2228,68.000,86.147837,215,16.744200,75.945947,6.155300,-35.215500,1044457,1284.895535
Blacktown,2021-02-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,827.687700,1054.587200,9686962,1304.216406
Blacktown,2021-03-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Blacktown,2021-04-01,99.284300,18,2164,65.000,87.927644,289,15.224900,76.257356,0.000000,0.000000,9686962,1304.216406
Burwood,2020-05-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,-8.028400,-100.000000,10242930,1710.746755
Burwood,2020-06-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2020-07-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2020-08-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2020-09-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2020-10-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2020-11-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2020-12-01,100.000000,16,530,75.000,115.858169,168,13.690500,75.028051,-89.534100,,1024197,1584.117582
Burwood,2021-01-01,100.000000,16,530,79.000,115.240499,166,13.855400,74.908488,0.404600,,1054553,1627.351296
Burwood,2021-02-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,851.635000,,10242930,1710.746755
Burwood,2021-03-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Burwood,2021-04-01,100.000000,14,2711,68.000,110.279190,215,15.348800,75.531173,0.000000,,10242930,1710.746755
Camden,2020-05-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,-74.523700,,2143793,1681.541334
Camden,2020-06-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2020-07-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2020-08-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2020-09-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2020-10-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2020-11-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2020-12-01,100.000000,35,472,105.000,161.991786,44,43.181800,77.238724,-90.328200,,200977,1917.019019
Camden,2021-01-01,100.000000,35,448,111.000,150.866681,44,40.909100,75.485104,20.763300,,249714,1830.229489
Camden,2021-02-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,756.168900,,2143793,1681.541334
Camden,2021-03-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Camden,2021-04-01,100.000000,31,2157,99.000,130.571780,52,38.461500,76.155682,0.000000,,2143793,1681.541334
Campbelltown,2020-05-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,100.639200,,5005631,1557.726540
Campbelltown,2020-06-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,0.000000,0.000000,5005631,1557.726540
Campbelltown,2020-07-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,0.000000,0.000000,5005631,1557.726540
Campbelltown,2020-08-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,0.000000,0.000000,5005631,1557.726540
Campbelltown,2020-09-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,0.000000,0.000000,5005631,1557.726540
Campbelltown,2020-10-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,0.000000,0.000000,5005631,1557.726540
Campbelltown,2020-11-01,99.987200,20,10000,83.000,122.269049,91,28.571400,74.770855,0.000000,0.000000,5005631,1557.726540
Campbelltown,2020-12-01,99.991100,24,2243,85.000,135.635658,71,29.577500,75.020038,-89.676200,-92.857100,535262,1801.606007
