PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,SCRAPED_DATE,ACTIVE_LISTING_RATE,MIN_ACTIVE_LISTINGS,MAX_ACTIVE_LISTINGS,MEDIAN_ACTIVELISTINGS,AVERAGE_ACTIVELISTINGS,NUMBER_OF_DISTINCT_HOSTS,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATING,PERCENTAGE_CHANGE_ACTIVE_LISTINGS,PERCENTAGE_CHANGE_INACTIVE_LISTINGS,NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Aparthotel,Entire home/apt,2,2020-05-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,,,0,0.000000
Aparthotel,Entire home/apt,2,2020-06-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2020-07-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2020-08-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2020-09-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2020-10-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2020-11-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2020-12-01,100.000000,164,164,164.000,164.000000,1,100.000000,70.303571,-90.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2021-01-01,100.000000,133,133,133.000,133.000000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2021-02-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,900.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2021-03-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,2,2021-04-01,100.000000,101,206,132.500,139.500000,1,100.000000,70.303571,0.000000,,0,0.000000
Aparthotel,Entire home/apt,3,2020-05-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,20.877200,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-06-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-07-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-08-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-09-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-10-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-11-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2020-12-01,100.000000,102,156,105.000,121.339806,1,0.000000,71.856436,-85.050800,,1068,307.638350
Aparthotel,Entire home/apt,3,2021-01-01,100.000000,88,90,90.000,89.390244,1,0.000000,73.937500,-60.194200,,771,415.792683
Aparthotel,Entire home/apt,3,2021-02-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,1580.487800,,6437,149.683599
Aparthotel,Entire home/apt,3,2021-03-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,3,2021-04-01,100.000000,45,113,64.000,71.904209,1,0.000000,72.022422,0.000000,,6437,149.683599
Aparthotel,Entire home/apt,5,2020-05-01,100.000000,109,158,109.000,123.848485,1,0.000000,70.738657,-38.933200,,30855,2270.555556
Aparthotel,Entire home/apt,5,2020-06-01,100.000000,109,158,109.000,123.848485,1,0.000000,70.738657,0.000000,,30855,2270.555556
Aparthotel,Entire home/apt,5,2020-07-01,100.000000,109,158,109.000,123.848485,1,0.000000,70.738657,0.000000,,30855,2270.555556
